State,University,URL
Pennsylvania,University of Pennsylvania,https://focus.org/campus/university-of-pennsylvania/
Pennsylvania,University of Pittsburgh,https://focus.org/campus/university-of-pittsburgh/
Pennsylvania,West Chester University,https://focus.org/campus/west-chester-university/
Rhode Island,Brown University,https://focus.org/campus/brown-university/
Rhode Island,University of Rhode Island,https://focus.org/campus/university-of-rhode-island/
South Carolina,Clemson University,https://focus.org/campus/clemson-university/
South Carolina,Coastal Carolina University,https://focus.org/campus/coastal-carolina-university/
South Carolina,University of South Carolina – Columbia,https://focus.org/campus/university-of-south-carolina-columbia/
South Dakota,Black Hills State University,https://focus.org/campus/black-hills-state-university/
South Dakota,Northern State University,https://focus.org/campus/northern-state-university/
South Dakota,South Dakota Mines,https://focus.org/campus/south-dakota-mines/
South Dakota,South Dakota State University,https://focus.org/campus/south-dakota-state-university/
South Dakota,University of South Dakota,https://focus.org/campus/university-of-south-dakota/
Tennessee,Belmont University – Nashville,https://focus.org/campus/belmont-university-nashville/
Tennessee,East Tennessee State University,https://focus.org/campus/east-tennessee-state-university/
Tennessee,Middle Tennessee State University,https://focus.org/campus/middle-tennessee-state-university/
Tennessee,University of Memphis,https://focus.org/campus/university-of-memphis/
Tennessee,University of Tennessee,https://focus.org/campus/university-of-tennessee/
Tennessee,University of Tennessee at Chattanooga,https://focus.org/campus/university-of-tennessee-at-chattanooga/
Tennessee,Vanderbilt University,https://focus.org/campus/vanderbilt-university/
Texas,Baylor University,https://focus.org/campus/baylor-university/
Texas,Southern Methodist University,https://focus.org/campus/southern-methodist-university/
Texas,Stephen F. Austin State University,https://focus.org/campus/stephen-f-austin-state-university/
Texas,Texas A&M University,https://focus.org/campus/texas-a-m-university/
Texas,Texas A&M University – Kingsville,https://focus.org/campus/texas-a-m-university-kingsville/
Texas,Texas State University,https://focus.org/campus/texas-state-university/
Texas,The University of Texas at Dallas,https://focus.org/campus/the-university-of-texas-at-dallas/
Texas,University of Dallas,https://focus.org/campus/university-of-dallas/
Texas,University of Texas Rio Grande Valley,https://focus.org/campus/university-of-texas-rio-grande-valley/
Texas,University of Texas at Austin,https://focus.org/campus/university-of-texas-at-austin/
Texas,University of Texas – San Antonio,https://focus.org/campus/university-of-texas-san-antonio/
Utah,University of Utah,https://focus.org/campus/university-of-utah/
Vermont,University of Vermont (Digital Campus),https://focus.org/campus/university-of-vermont/
Virginia,College of William & Mary,https://focus.org/campus/college-of-william-mary/
Virginia,George Mason University,https://focus.org/campus/george-mason-university/
Virginia,James Madison University,https://focus.org/campus/james-madison-university/
Virginia,University of Virginia,https://focus.org/campus/university-of-virginia/
Virginia,Virginia Tech,https://focus.org/campus/virginia-tech/
Washington,Eastern Washington University,https://focus.org/campus/eastern-washington-university/
Washington,University of Washington,https://focus.org/campus/university-of-washington/
Washington,Western Washington University,https://focus.org/campus/western-washington-university/
"Washington, DC",George Washington University,https://focus.org/campus/george-washington-university/
"Washington, DC",Howard University,https://focus.org/campus/howard-university/
West Virginia,West Virginia University,https://focus.org/campus/west-virginia-university/
Wisconsin,University of Wisconsin Eau Claire,https://focus.org/campus/university-of-wisconsin-eau-claire/
Wisconsin,University of Wisconsin Madison,https://focus.org/campus/university-of-wisconsin-madison/
Wisconsin,University of Wisconsin Stevens Point,https://focus.org/campus/university-of-wisconsin-stevens-point/
Wisconsin,University of Wisconsin – Milwaukee,https://focus.org/campus/university-of-wisconsin-milwaukee/
Wisconsin,University of Wisconsin – Stout,https://focus.org/campus/university-of-wisconsin-stout/
Wisconsin,University of Wisconsin-La Crosse,https://focus.org/campus/university-of-wisconsin-la-crosse/
Wisconsin,University of Wisconsin-Oshkosh,https://focus.org/campus/university-of-wisconsin-oshkosh/
Wisconsin,University of Wisconsin-Platteville,https://focus.org/campus/university-of-wisconsin-platteville/
Austria,St. Pölten University of Applied Sciences,https://focus.org/campus/st-polten-university-of-applied-sciences/
Austria,University of Krems,https://focus.org/campus/university-of-krems/
Austria,University of Vienna,https://focus.org/campus/university-of-vienna/
Germany,University of Düsseldorf,https://focus.org/campus/university-of-dusseldorf/
Germany,University of Passau,https://focus.org/campus/university-of-passau/
Ireland,Dublin,https://focus.org/campus/dublin/
Ireland,University College Cork,https://focus.org/campus/university-college-cork/
Mexico,Technologico de Monterrey,https://focus.org/campus/technologico-de-monterrey/
Mexico,Universidad de Monterrey,https://focus.org/campus/universidad-de-monterrey/
Northern Ireland,Queen’s University Belfast,https://focus.org/campus/queen-s-university-belfast/
Digital Outreach,Digital Outreach,https://focus.org/campus/digital-outreach/
